"Year","commodity (code)","commodity","Value","Flag"
"2007","10033","Total","218.727058146613",""
"2006","10022","Non-Food","212.353522868846",""
"2006","10021","Food","193.153392210208",""
"2006","10033","Total","203.730744190052",""
"2005","10022","Non-Food","192.833409035227",""
"2005","10021","Food","182.227759847003",""
"2005","10033","Total","188.070411984795",""
"2004","10022","Non-Food","154.979589650269",""
"2004","10021","Food","151.08345",""
"2004","10033","Total","153.229833333333",""
"2003","10022","Non-Food","131.139964414292",""
"2003","10021","Food","128.254791666667",""
"2003","10033","Total","129.844233333333",""
"2012","10022","Non-Food","466.117241298162",""
"2011","10021","Food","303.5608302482",""
"2011","10022","Non-Food","416.60141641168",""
"2012","10033","Total","399.356260531656",""
"2012","10021","Food","317.405250799001",""
"2010","10033","Total","336.476225929473",""
"2010","10021","Food","291.803409063327",""
"2010","10022","Non-Food","372.894018731409",""
"2011","10033","Total","365.83505137046",""
"2008","10022","Non-Food","268.811658481592",""
"2009","10033","Total","303.928801989361",""
"2009","10021","Food","275.047492639585",""
"2009","10022","Non-Food","327.473176701621",""
"2007","10021","Food","206.454162065716",""
"2007","10022","Non-Food","228.732063828101",""
"2008","10033","Total","254.865142922834",""
"2008","10021","Food","237.757292953295",""
